EPA Region,State,County,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
4,North Carolina,Alamance,0.376,0.562,0.435,0.336,0.471,1.258
4,North Carolina,Alexander,0.2,0.517,0.335,0.345,0.466,0.856
4,North Carolina,Alleghany,0.123,0.375,0.341,0.362,0.384,-0.577
4,North Carolina,Anson,0.109,0.485,0.356,0.381,0.385,1.165
4,North Carolina,Ashe,0.12,0.257,0.378,0.354,0.48,0.654
4,North Carolina,Avery,0.174,0.259,0.393,0.434,0.481,1.81
4,North Carolina,Beaufort,0.381,0.597,0.459,0.519,0.513,2.897
4,North Carolina,Bertie,0.156,0.624,0.382,0.508,0.545,6.159
4,North Carolina,Bladen,0.132,0.471,0.482,0.481,0.367,4.991
4,North Carolina,Brunswick,0.356,0.541,0.589,0.491,0.418,3.199
4,North Carolina,Buncombe,0.506,0.251,0.502,0.332,0.551,0.964
4,North Carolina,Burke,0.286,0.253,0.444,0.441,0.383,0.953
4,North Carolina,Cabarrus,0.649,0.655,0.363,0.322,0.508,0.633
4,North Carolina,Caldwell,0.284,0.384,0.355,0.405,0.466,0.841
4,North Carolina,Camden,0.226,0.63,0.335,0.556,0.437,3.31
4,North Carolina,Carteret,0.307,0.625,0.44,0.697,0.481,4.747
4,North Carolina,Caswell,0.127,0.57,0.38,0.394,0.347,1.84
4,North Carolina,Catawba,0.506,0.458,0.519,0.37,0.509,1.484
4,North Carolina,Chatham,0.226,0.526,0.535,0.396,0.498,4.002
4,North Carolina,Cherokee,0.227,0.228,0.367,0.456,0.54,1.702
4,North Carolina,Chowan,0.143,0.594,0.287,0.582,0.463,4.907
4,North Carolina,Clay,0.169,0.212,0.325,0.522,0.556,2.681
4,North Carolina,Cleveland,0.291,0.432,0.429,0.369,0.491,1.542
4,North Carolina,Columbus,0.124,0.447,0.546,0.488,0.529,9.187
4,North Carolina,Craven,0.383,0.577,0.512,0.616,0.436,3.427
4,North Carolina,Cumberland,0.585,0.523,0.471,0.389,0.443,1.037
4,North Carolina,Currituck,0.201,0.637,0.397,0.614,0.421,5.123
4,North Carolina,Dare,0.389,0.546,0.444,0.742,0.553,4.219
4,North Carolina,Davidson,0.317,0.599,0.457,0.366,0.466,1.989
4,North Carolina,Davie,0.191,0.609,0.387,0.353,0.536,2.935
