EPA Region,State,County,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
6,Texas,Anderson,0.138,0.538,0.475,0.461,0.412,5.416
6,Texas,Andrews,0.108,0.53,0.339,0.352,0.349,-0.155
6,Texas,Angelina,0.195,0.495,0.516,0.441,0.448,4.271
6,Texas,Aransas,0.18,0.513,0.334,0.522,0.404,2.657
6,Texas,Archer,0.123,0.622,0.431,0.361,0.603,6.837
6,Texas,Armstrong,0.33,0.673,0.203,0.354,0.462,-0.028
6,Texas,Atascosa,0.091,0.549,0.451,0.436,0.41,6.916
6,Texas,Austin,0.111,0.543,0.42,0.379,0.535,5.813
6,Texas,Bailey,0.236,0.535,0.241,0.367,0.405,-0.528
6,Texas,Bandera,0.085,0.408,0.373,0.387,0.529,4.629
6,Texas,Bastrop,0.291,0.549,0.524,0.293,0.465,1.977
6,Texas,Baylor,0.135,0.494,0.134,0.403,0.44,-2.176
6,Texas,Bee,0.102,0.557,0.351,0.484,0.413,4.832
6,Texas,Bell,0.496,0.181,0.68,0.463,0.447,2.038
6,Texas,Bexar,0.53,0.212,0.884,0.391,0.521,2.936
6,Texas,Blanco,0.237,0.314,0.351,0.438,0.691,2.87
6,Texas,Borden,0.139,0.672,0.133,0.396,0.386,-1.728
6,Texas,Bosque,0.114,0.6,0.423,0.424,0.554,7.526
6,Texas,Bowie,0.312,0.5,0.519,0.454,0.458,2.881
6,Texas,Brazoria,0.602,0.588,0.776,0.549,0.524,3.385
6,Texas,Brazos,0.323,0.52,0.531,0.357,0.426,2.011
6,Texas,Brewster,0.151,0.543,0.36,0.511,0.59,6.093
6,Texas,Briscoe,0.237,0.686,0.289,0.394,0.529,1.956
6,Texas,Brooks,0.27,0.513,0.228,0.408,0.165,-2.036
6,Texas,Brown,0.159,0.566,0.414,0.35,0.578,4.186
6,Texas,Burleson,0.128,0.514,0.337,0.42,0.511,3.529
6,Texas,Burnet,0.203,0.543,0.431,0.477,0.596,5.093
6,Texas,Caldwell,0.138,0.429,0.403,0.312,0.509,1.942
6,Texas,Calhoun,0.217,0.525,0.435,0.49,0.429,3.373
6,Texas,Callahan,0.159,0.583,0.384,0.389,0.537,3.904
6,Texas,Cameron,0.334,0.573,0.702,0.69,0.384,5.676
6,Texas,Camp,0.278,0.522,0.244,0.362,0.467,-0.067
6,Texas,Carson,0.468,0.647,0.38,0.426,0.635,2.038
6,Texas,Cass,0.206,0.552,0.38,0.425,0.402,1.935
6,Texas,Castro,0.203,0.556,0.233,0.533,0.324,0.604
6,Texas,Chambers,0.571,0.58,0.511,0.5,0.44,1.811
6,Texas,Cherokee,0.133,0.524,0.506,0.441,0.393,5.479
6,Texas,Childress,0.198,0.557,0.239,0.356,0.481,0.072
6,Texas,Clay,0.108,0.624,0.413,0.38,0.674,9.076
6,Texas,Cochran,0.247,0.635,0.03,0.339,0.396,-2.725
6,Texas,Coke,0.102,0.596,0.27,0.357,0.228,-3.508
6,Texas,Coleman,0.133,0.571,0.229,0.38,0.501,0.763
6,Texas,Collin,0.549,0.619,0.678,0.351,0.527,2.408
6,Texas,Collingsworth,0.25,0.607,0.168,0.288,0.644,0.112
6,Texas,Colorado,0.095,0.512,0.379,0.403,0.559,6.43
6,Texas,Comal,0.38,0.254,0.505,0.313,0.595,1.419
6,Texas,Comanche,0.115,0.548,0.338,0.417,0.433,2.848
6,Texas,Concho,0.102,0.626,0.208,0.396,0.502,1.371
6,Texas,Cooke,0.135,0.585,0.471,0.339,0.496,4.809
6,Texas,Coryell,0.143,0.562,0.445,0.497,0.446,5.93
6,Texas,Cottle,0.315,0.593,0.228,0.32,0.387,-0.799
6,Texas,Crane,0.143,0.561,0.159,0.413,0.435,-1.015
6,Texas,Crockett,0.102,0.54,0.304,0.489,0.581,6.767
6,Texas,Crosby,0.147,0.636,0.292,0.397,0.476,2.225
6,Texas,Culberson,0.214,0.574,0.187,0.344,0.456,-0.87
6,Texas,Dallam,0.299,0.613,0.258,0.338,0.509,0.435
6,Texas,Dallas,0.844,0.575,0.789,0.236,0.485,1.436
6,Texas,Dawson,0.097,0.571,0.295,0.298,0.463,-0.034
6,Texas,Deaf Smith,0.2,0.571,0.304,0.377,0.455,1.02
6,Texas,Delta,0.289,0.629,0.227,0.421,0.376,0.02
6,Texas,Denton,0.512,0.634,0.711,0.46,0.493,3.18
6,Texas,DeWitt,0.102,0.512,0.298,0.468,0.475,3.814
6,Texas,Dickens,0.212,0.63,0.091,0.401,0.403,-1.657
6,Texas,Dimmit,0.08,0.516,0.328,0.443,0.475,5.18
